[2025-03-09 16:06:43] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532803.jpg
[2025-03-09 16:06:43] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532803.jpg
[2025-03-09 16:06:43] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532803.jpg
[2025-03-09 16:06:43] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532803.jpg
[2025-03-09 16:06:44] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:44] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532804.jpg
[2025-03-09 16:06:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:45] Received plate: กรุงเทพมหานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532805.jpg
[2025-03-09 16:06:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:46] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532806.jpg
[2025-03-09 16:06:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:47] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532807.jpg
[2025-03-09 16:06:48] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 494, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: 8ขฏ, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
[2025-03-09 16:06:48] Received plate: กรุงเทพมนานคร, Found: No, Image: C:\xampp\htdocs\realfinal/uploads/plate_1741532808.jpg
